site_id,site_name,timestamp,NO (µg/m³),NO_percentage,NO_flag,NO2 (µg/m³),NO2_flag,NO2_percentage,NOx (ppb),NOx_flag,NOx_percentage,original_40,Ozone (µg/m³),Ozone_flag,Ozone_percentage,PM10 (µg/m³),PM10_flag,PM10_percentage,PM2.5 (µg/m³),PM2.5_flag,PM25_percentage,year
site_5115,Worli Mumbai,35040,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2017
site_5118,Khadakpada Kalyan,35040,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2017
site_5119,Sion Mumbai,35040,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2017
site_5120,Colaba Mumbai,35040,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2017
site_5121,Knowledge Park V Greater Noida,35040,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2017
site_5122,Sector-116 Noida,35040,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2017
site_5124,Urban Chamarajanagar,35040,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2017
site_5125,Hebbal 1st Stage Mysuru,35040,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2017
site_5126,Rabindra Sarobar Kolkata,35040,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2017
site_5127,Sector-25 Chandigarh,35040,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2017
site_5128,Gomti Nagar Lucknow,35040,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2017
site_5131,Lumpyngngad Shillong Meghalaya,35040,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2017
site_5249,Marhatal Jabalpur,35040,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2017
site_5250,Gole Bazar Katni,35040,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2017
site_5257,Pallavpuram Phase 2 Meerut,35040,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2017
site_5258,Ganga Nagar Meerut,35040,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2017
site_5261,Muradpur Patna,35040,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2017
site_5262,Rajbansi Nagar Patna,35040,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2017
site_5263,Samanpura Patna,35040,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2017
site_5264,Vidayagiri Bagalkot,35040,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2017
site_5265,Kalyana Nagara Chikkamagaluru,35040,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2017
site_5266,Vinoba Nagara Shivamogga,35040,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2017
site_5267,Ibrahimpur Vijayapura,35040,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2017
site_5270,Vyttila Kochi Kerala,35040,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2017
site_5271,Palayam Kozhikode Kerala,35040,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2017
site_5273,City Center Gwalior,35040,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2017
site_5276,Thavakkara Kannur Kerala,35040,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2017
site_5331,Kariavattom Thiruvananthapuram Kerala,35040,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2017
site_5334,Polayathode Kollam Kerala,35040,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2017
site_5335,Govt. High School Shikarpur Patna,35040,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2017
site_5336,DRM Office Danapur Patna,35040,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2017
site_5337,Industrial Area Hajipur,35040,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2017
site_5338,SFTI Kusdihra Gaya,35040,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2017
site_5339,Mini Secretariat Charkhi Dadri,35040,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2017
site_5340,New Industrial Town Faridabad,35040,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2017
site_5341,Sector 30 Faridabad,35040,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2017
site_5342,Sector 11 Faridabad,35040,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2017
site_5344,Teri Gram Gurugram,35040,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2017
site_5345,Sector-51 Gurugram,35040,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2017
site_5361,Arumbakkam Chennai,35040,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2017
site_5362,Anthoni Pillai Nagar Gummidipoondi,35040,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2017
site_5363,Perungudi Chennai,35040,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2017
site_5364,Royapuram Chennai,35040,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2017
site_5365,Kodungaiyur Chennai,35040,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2017
site_5367,Meelavittan Thoothukudi,35040,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2017
site_5370,Buddha Colony Muzaffarpur,35040,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2017
site_5375,PWD Juction Kohima,35040,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2017
site_5377,Kunjaban Agartala Tripura,35040,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2017
site_5390,Corporation Ground Thrissur Kerala,35040,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2017
site_5392,Bandra Kurla Complex Mumbai,35040,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2017
site_5393,Chandni Chowk Delhi,35040,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2017
site_5394,Mazgaon Mumbai,35040,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2017
site_5396,Deonar Mumbai,35040,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2017
site_5397,Khindipada-Bhandup West Mumbai,35040,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2017
